* TSFIT Velocity file from command file vsolntsfit_only_run1.cmd
#  EQ_FILE ~/gg/tables/igb14_comb.eq
#  REAL_SIGMA
#  VELFILE glredts.vel
#  NSIGMA 3
#  OUT_APRF tsfit_only_run1.apr
#  OUT_EQROOT tsfit_only_run1
#  OUT_PBOV tsfit_only_run1.pbov
#  OUT_POSF tsfit_only_run1.posf
#  RESROOT tsfit_only_run1
*  Long         Lat        Evel    Nvel    dEv     dNv    E +-    N +-    Rne      Hvel     dHv    H +-  Site
*  deg          deg       mm/yr   mm/yr   mm/yr   mm/yr   mm/yr   mm/yr            mm/yr   mm/yr   mm/yr
   58.56046   56.42982    25.40    6.14   25.40    6.14    0.34    0.22  0.000     -0.11   -0.11    1.58 ARTU_GPS 
  102.23499   51.76970    26.52   -6.47   26.52   -6.47    0.21    0.26  0.000      1.77    1.77    1.36 BADG_GPS 
  106.84891   -6.49106    24.54   -7.71   24.54   -7.71    0.43    0.26  0.000      0.67    0.67    1.30 BAKO_GPS 
   84.37967   28.22861    36.95   30.60   36.95   30.60    0.17    0.30  0.000      2.22    2.22    1.20 BESI_GPS 
  115.89249   39.60860    30.35  -10.98   30.35  -10.98    0.39    0.39  0.000      1.33    1.33    1.16 BJFS_GPS 
   85.31409   28.20723    37.39   26.35   37.39   26.35    0.47    0.29  0.000      4.06    4.06    1.25 CHLM_GPS 
   84.38534   27.66824    36.25   31.90   36.25   31.90    1.16    0.54  0.000      2.13    2.13    3.71 CHWN_GPS 
  100.53392   13.73591    23.76   -9.15   23.76   -9.15    0.33    0.57  0.000     -6.75   -6.75    1.78 CUSV_GPS 
   84.26519   27.97335    37.78   33.27   37.78   33.27    0.26    0.23  0.000      0.57    0.57    1.09 DMAU_GPS 
   35.39207   31.59320    23.09   20.28   23.09   20.28    0.36    0.28  0.000      2.05    2.05    0.95 DRAG_GPS 
   84.40973   28.37460    36.66   27.74   36.66   27.74    0.10    0.14  0.000      5.90    5.90    0.46 GHER_GPS 
   27.70725  -25.88696    17.69   18.89   17.69   18.89    0.47    0.98  0.000      2.13    2.13    1.75 HARB_GPS 
   78.55087   17.41726    40.39   35.34   40.39   35.34    0.47    0.19  0.000      1.49    1.49    2.33 HYDE_GPS 
   77.57038   13.02117    42.13   34.63   42.13   34.63    0.38    0.33  0.000      1.35    1.35    1.53 IISC_GPS 
   85.28816   27.68188    41.46   30.00   41.46   30.00    0.11    0.14  0.000    -29.02  -29.02    0.47 KIRT_GPS 
   85.27881   27.80073    37.57   32.28   37.57   32.28    0.18    0.23  0.000      0.79    0.79    1.10 KKN4_GPS 
   85.32773   27.65669    30.39   33.98   30.39   33.98    1.34    0.65  0.000   -112.27 -112.27    3.12 NAST_GPS 
   74.69427   42.67977    28.09    4.51   28.09    4.51    0.19    0.16  0.000      0.05    0.05    0.39 POL2_GPS 
   86.55001   27.30512    36.88   30.39   36.88   30.39    0.51    0.15  0.000      2.61    2.61    2.18 RMJT_GPS 
   85.79886   27.38483    37.79   32.81   37.79   32.81    0.51    0.41  0.000      0.82    0.82    1.79 SNDL_GPS 
   86.71246   27.81423    39.24   24.31   39.24   24.31    0.80    0.35  0.000      3.63    3.63    2.37 SYBC_GPS 
   69.29557   41.32805    25.04    4.20   25.04    4.20    0.23    0.18  0.000      0.85    0.85    1.12 TASH_GPS 
  121.16450   24.95356    34.64   -9.02   34.64   -9.02    0.97    0.67  0.000      4.20    4.20    0.94 TWTF_GPS 
